epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,707.176,2.03586,0.80916,2.72313,0.85479,0.86595,0.87259,0.37766,2.15536,0.64984,3.13185,0.0670154,0.000333178,0.000333178
2,1365.78,1.86441,0.67492,2.50784,0.86509,0.85749,0.91007,0.44635,1.98203,0.5562,2.71496,0.034009,0.00066018,0.00066018
3,2016.24,1.75148,0.60514,2.40416,0.95442,0.94948,0.96804,0.53906,1.94756,0.45787,2.75892,0.000996359,0.000980848,0.000980848
4,2664.18,1.69202,0.56613,2.33367,0.92922,0.94651,0.96394,0.58402,1.77321,0.46816,2.52333,0.0009715,0.0009715,0.0009715
5,3314.12,1.62914,0.53234,2.27336,0.94407,0.94799,0.96847,0.64245,1.54057,0.41619,2.24673,0.000962,0.000962,0.000962
6,3964.84,1.58978,0.508,2.23256,0.94597,0.9626,0.96606,0.6075,1.65524,0.41977,2.33042,0.0009525,0.0009525,0.0009525
7,4612.97,1.5662,0.4925,2.20502,0.96065,0.97945,0.98227,0.60121,1.82151,0.39613,2.52832,0.000943,0.000943,0.000943
8,5260.62,1.53715,0.47821,2.17481,0.981,0.96285,0.97985,0.64337,1.69303,0.39835,2.35869,0.0009335,0.0009335,0.0009335
9,5910.27,1.53625,0.47415,2.17181,0.98027,0.95956,0.97571,0.62425,1.74942,0.41825,2.49058,0.000924,0.000924,0.000924
10,6559.95,1.5064,0.46228,2.15178,0.97777,0.9584,0.98018,0.67853,1.55582,0.37665,2.22003,0.0009145,0.0009145,0.0009145
11,7208.62,1.49271,0.4478,2.12733,0.97477,0.98068,0.98388,0.71142,1.46522,0.35238,2.10137,0.000905,0.000905,0.000905
12,7857.64,1.46267,0.43814,2.11447,0.98208,0.9688,0.97996,0.66722,1.589,0.38348,2.26115,0.0008955,0.0008955,0.0008955
13,8504.99,1.45332,0.4349,2.08481,0.9719,0.9792,0.98428,0.70309,1.47313,0.34304,2.14415,0.000886,0.000886,0.000886
14,9152.22,1.44234,0.42112,2.08075,0.97517,0.9792,0.98253,0.68086,1.55956,0.35992,2.23081,0.0008765,0.0008765,0.0008765
15,9801.41,1.4397,0.41978,2.08411,0.97463,0.97028,0.97977,0.69625,1.48894,0.33448,2.18719,0.000867,0.000867,0.000867
16,10449.9,1.41424,0.41003,2.06191,0.9864,0.96731,0.98208,0.70535,1.47264,0.35607,2.1377,0.0008575,0.0008575,0.0008575
17,11097.5,1.41084,0.40415,2.04595,0.98516,0.96731,0.98692,0.72523,1.39336,0.32454,2.0853,0.000848,0.000848,0.000848
18,11745.3,1.40874,0.4011,2.04157,0.98081,0.97028,0.98537,0.72845,1.35551,0.33119,2.01558,0.0008385,0.0008385,0.0008385
19,12393.8,1.39178,0.39293,2.03697,0.98649,0.97667,0.9875,0.74573,1.31506,0.33967,1.94536,0.000829,0.000829,0.000829
20,13050.9,1.38948,0.39105,2.02862,0.9821,0.9781,0.98292,0.76139,1.28517,0.32811,1.88292,0.0008195,0.0008195,0.0008195
21,13705.5,1.36823,0.38343,2.01142,0.99092,0.97273,0.99014,0.76188,1.27177,0.32888,1.92252,0.00081,0.00081,0.00081
22,14354.5,1.36277,0.37883,2.0112,0.98354,0.9769,0.98868,0.78409,1.1712,0.30894,1.81098,0.0008005,0.0008005,0.0008005
23,15000.2,1.35315,0.37315,1.99181,0.98651,0.97802,0.99126,0.76849,1.27024,0.29203,1.90675,0.000791,0.000791,0.000791
24,15650.9,1.34811,0.37276,1.99108,0.98812,0.97325,0.98499,0.76499,1.29696,0.316,1.91547,0.0007815,0.0007815,0.0007815
25,16311.5,1.34157,0.36802,1.98,0.99091,0.97623,0.98502,0.74574,1.36365,0.33978,2.02235,0.000772,0.000772,0.000772
26,16960.4,1.3387,0.36747,1.98775,0.98644,0.98514,0.99161,0.74772,1.34306,0.28836,1.98961,0.0007625,0.0007625,0.0007625
27,17606.6,1.32886,0.36323,1.96653,0.98805,0.9827,0.98616,0.76946,1.26013,0.3189,1.904,0.000753,0.000753,0.000753
28,18253.9,1.31222,0.35516,1.95724,0.99097,0.97841,0.98532,0.76468,1.30635,0.31863,1.94259,0.0007435,0.0007435,0.0007435
29,18901.6,1.3033,0.35054,1.95816,0.98793,0.97293,0.98538,0.78339,1.21943,0.29908,1.86765,0.000734,0.000734,0.000734
30,19547.6,1.31349,0.35393,1.95499,0.99079,0.97623,0.98468,0.76213,1.32277,0.30827,1.98568,0.0007245,0.0007245,0.0007245
